unix,date,symbol,open,high,low,close,Volume ETC,Volume USD,Index
1571270400,10/17/2019,ETC/USD,4.43,4.58,4.404,4.511,823150.28,182717.36,328
1571184000,10/16/2019,ETC/USD,4.5760000000000005,4.7,4.301,4.43,932145.03,207916.13,329
1571097600,10/15/2019,ETC/USD,4.792,4.802,4.47,4.5760000000000005,967481.12,209561.24,330
1571011200,10/14/2019,ETC/USD,4.744,4.8660000000000005,4.723,4.792,482634.93,100907.44,331
1570924800,10/13/2019,ETC/USD,4.718,4.825,4.686,4.744,373893.04,78529.84,332
1570838400,10/12/2019,ETC/USD,4.646,4.76,4.641,4.718,528393.09,112034.73,333
1570752000,10/11/2019,ETC/USD,4.845,4.975,4.632,4.646,821607.69,171833.27,334
1570665600,10/10/2019,ETC/USD,5.0889999999999995,5.118,4.816,4.845,1751552.26,351926.55,335
1570579200,10/9/2019,ETC/USD,4.635,5.301,4.601,5.0889999999999995,2111579.8,425868.03,336
1570492800,10/8/2019,ETC/USD,4.675,4.736000000000001,4.569,4.635,531149.71,114307.73,337
1570406400,10/7/2019,ETC/USD,4.499,4.747,4.46,4.675,644172.69,139205.85,338
1570320000,10/6/2019,ETC/USD,4.626,4.64,4.4,4.499,471485.08,104233.13,339
1570233600,10/5/2019,ETC/USD,4.592,4.663,4.551,4.626,446612.13,96697.35,340
1570147200,10/4/2019,ETC/USD,4.614,4.667,4.506,4.592,312621.61,68000.64,341
1570060800,10/3/2019,ETC/USD,4.698,4.705,4.519,4.614,601991.28,130527.34,342
1569974400,10/2/2019,ETC/USD,4.638,4.706,4.577,4.698,265913.1,57513.79,343
1569888000,10/1/2019,ETC/USD,4.713,4.854,4.614,4.638,873907.9,184833.19,344
1569801600,9/30/2019,ETC/USD,4.5569999999999995,4.7989999999999995,4.42,4.713,1026117.0,221391.82,345
1569715200,9/29/2019,ETC/USD,4.684,4.696000000000001,4.45,4.5569999999999995,709267.13,155424.32,346
1569628800,9/28/2019,ETC/USD,4.683,4.769,4.602,4.684,933449.36,199388.99,347
1569542400,9/27/2019,ETC/USD,4.74,4.789,4.501,4.683,981877.16,211315.51,348
1569456000,9/26/2019,ETC/USD,4.8580000000000005,4.927,4.5,4.74,1956438.22,414603.65,349
1569369600,9/25/2019,ETC/USD,4.9639999999999995,5.3389999999999995,4.612,4.8580000000000005,1732220.83,348053.48,350
1569283200,9/24/2019,ETC/USD,5.809,5.88,4.35,4.9639999999999995,4483058.88,884687.96,351
1569196800,9/23/2019,ETC/USD,5.99,6.075,5.771,5.809,713534.0,120332.98,352
1569110400,9/22/2019,ETC/USD,6.127000000000001,6.13,5.954,5.99,539037.19,89529.32,353
1569024000,9/21/2019,ETC/USD,6.16,6.199,6.0360000000000005,6.127000000000001,563477.55,92109.43,354
1568937600,9/20/2019,ETC/USD,6.228,6.275,5.95,6.16,1280876.96,209268.2,355
1568851200,9/19/2019,ETC/USD,6.388,6.39,5.75,6.228,2508199.09,410400.67,356
1568764800,9/18/2019,ETC/USD,6.279,6.5329999999999995,6.279,6.388,1321951.74,205353.73,357
1568678400,9/17/2019,ETC/USD,6.224,6.436,6.167999999999999,6.279,1390469.4,219915.69,358
1568592000,9/16/2019,ETC/USD,6.2589999999999995,6.345,6.12,6.224,668875.06,107454.17,359
1568505600,9/15/2019,ETC/USD,6.271,6.348,6.223,6.2589999999999995,376184.54,60005.95,360
1568419200,9/14/2019,ETC/USD,6.191,6.3260000000000005,6.085,6.271,487653.33,78296.17,361
1568332800,9/13/2019,ETC/USD,6.218999999999999,6.26,6.104,6.191,576422.0,93289.58,362
1568246400,9/12/2019,ETC/USD,6.318,6.367000000000001,6.192,6.218999999999999,954196.24,152430.75,363
